id;nazev_cz;nazev_en;trida_cz;cena;k_prohlidce
1273;"Hoko přilbový";"Northern helmeted curassow";"Ptáci";1500;1
1274;"Latam vlaštovčí";"Swift parrot";"Ptáci";1500;0
1276;"Dudkovec stromový";"Green woodhoopoe";"Ptáci";1500;1
1277;"Ibis slámokrký";"Straw-necked ibis";"Ptáci";3000;1
1278;"Pelikán skvrnozobý";"Spot-billed pelican";"Ptáci";8000;0
1281;"Rypoš obří";"Mechow's mole rat ";"Savci";2000;1
1284;"Klokan bažinný";"Swamp wallaby";"Savci";3000;1
1286;"Velemyš (krysa) největší";"Southern giant slender-tailed cloud rat";"Savci";4000;0
1289;"Timálie rudolící";"Scarlet-faced liocichla";"Ptáci";1000;1
1290;"Ježek bělobřichý";"Four-toed hedgehog";"Savci";2000;1
1291;"Tamarín bělovousý";"Moustached tamarin";"Savci";4000;1
1292;"Kachna domácí";"Domestic duck";"Ptáci";1000;1
1295;"Šáma bělořitná";"White-rumped shama";"Ptáci";1000;1
1296;"Špaček čínský";"White-shouldered starling";"Ptáci";1000;1
1297;"Špaček růžový";"Rosy starling";"Ptáci";1000;1
1298;"Tinama přilbová";"Elegant crested tinamou";"Ptáci";1000;0
1299;"Pižmovka velká";"Muscovy duck";"Ptáci";1000;1
1300;"Čejka jihoamerická";"Southern lapwing";"Ptáci";1500;1
1301;"Dytík velký";"Bush thick-knee";"Ptáci";1500;1
1302;"Lori balijský";"Mitchell's lorikeet";"Ptáci";1500;1
1304;"Zoborožec rýhozobý";"Visayan tarictic hornbill";"Ptáci";2000;1
1306;"Husa labutí domácí";"Domestic swan goose";"Ptáci";1500;1
1308;"Leguán kyjoocasý";"Five-keeled spiny-tailed iguana";"Plazi";1500;1
1311;"Vydra hladkosrstá";"Smooth-coated otter";"Savci";6000;1
1312;"Levhart jávský";"Javan leopard";"Savci";10000;1
1315;"Ryby v pavilonu Čambal";"Fishes from Chambal pavilion";"Ryby";1000;1
1316;"Užovka podplamatá";"Dice snake";"Plazi";1500;1
1317;"Užovka obojková";"Grass snake";"Plazi";1500;1
1318;"Zmije obecná";"Adder";"Plazi";1500;1
1319;"Ještěrka zelená";"European green lizard";"Plazi";1000;1
1320;"Rákosnička ulugurská";"Uluguru forest tree frog";"Obojživelníci";1000;1
1321;"Komba jižní";"Mohol bushbaby";"Savci";2000;1
1323;"Gekon skvrnitý";"African banded velvet gecko";"Plazi";1000;1
1326;"Koroptev polní";"Grey partridge";"Ptáci";1000;1
1328;"Kur cejlonský";"Ceylon junglefowl";"Ptáci";1000;1
1330;"Klokan horský východní";"Eastern wallaroo";"Savci";7000;1
1331;"Svišť lesní";"Woodchuck";"Savci";2000;1
1332;"Konipas bílý";"White wagtail";"Ptáci";1000;1
1333;"Neoféma Bourkova";"Bourkeâ€™s parrot";"Ptáci";1000;0
1334;"Tabon lesní";"Australian brushturkey";"Ptáci";1000;1
1335;"Velemlok čínský";"Chineese giant salamander";"Obojživelníci";20000;1
1337;"Sambar ostrovní";"Javan rusa";"Savci";5000;1
1338;"Želva dlaždicovitá";"Impressed tortoise";"Plazi";3000;1
1343;"Chřestýšovec mangšanský";"Mang mountain pit viper";"Plazi";2000;1
1344;"Sup kapucín";"Hooded vulture";"Ptáci";3000;0
1345;"Zrzohlávka rudozobá";"Red-crested pochard";"Ptáci";1000;1
1347;"Vlhovec žlutokápý";"Yellow-hooded blackbird";"Ptáci";1000;0
1349;"Bažant Salvadoriův";"Salvadoriâ€™s pheasant";"Ptáci";1000;1
1350;"Kondor královský";"King vulture";"Ptáci";3000;0
1351;"Mravenečník velký";"Giant anteater";"Savci";8000;1
1353;"Užovka Ravergierova";"Spotted whip snake";"Plazi";1500;1
1355;"Blavor žlutý";"European glass lizard";"Plazi";2000;1
1357;"Gekon obrovský";"Tokay gecko";"Plazi";1000;1
1358;"Skalník sundský";"Javan whistling-thrush";"Ptáci";1000;1
1361;"Šírohlavec východní";"Eastern Montpellier snake";"Plazi";1500;0
1362;"Štír";"Scorpion";"Bezobratlí";1000;1
1363;"Jelen bělohubý";"Thorold's deer";"Savci";5000;1
1364;"Bodlinatka jihoafrická";"Southern African spiny mouse";"Savci";1000;1
1365;"Gibon stříbrný";"Silvery gibbon";"Savci";8000;1
1367;"Rybák obecný";"Common tern";"Ptáci";2000;0
1369;"Majna chocholatá";"Crested myna";"Ptáci";1500;1
1370;"Sojkovec zlatokřídlý";"Scaly laughingthrush";"Ptáci";1000;1
1372;"Drozd zpěvný";"Song thrush";"Ptáci";1000;1
1373;"Arowana dvojvousá";"Silver arowana";"Ryby";2000;1
1374;"Gekon létavý";"Kuhl's flying gecko";"Plazi";1000;1
1375;"Leguánek haitský";"Hispaniolan curly-tailed lizard";"Plazi";1000;1
1376;"Leguán pustinný";"Desert iguana";"Plazi";1500;1
1377;"Vodnářka pruhovaná";"Puff-faced water snake";"Plazi";1500;1
1378;"Ropušník velký";"Giant horned lizard";"Plazi";2000;1
1379;"Kočka palawanská";"Palawan leopard cat";"Savci";5000;1
1381;"Husa císařská";"Emperor goose";"Ptáci";2500;1
1382;"Včelojed lesní";"European honey-buzzard";"Ptáci";3000;1
1383;"Kraska krátkoocasá jávská";"Javan green magpie";"Ptáci";3000;0
1384;"Holub bělolící";"Columba vitiensis griseogularis";"Ptáci";1000;1
1385;"Tkalčík červenozobý";" ";"Ptáci";1000;1
1386;"Holub růžovotemenný";"Ducula rosacea";"Ptáci";1000;1
1387;"Husice rezavá";"Tadorna ferruginea";"Ptáci";1000;1
1391;"Kachnička amazonská";"Amazonetta brasiliensis";"Ptáci";1000;1
1392;"Chřástal kropenatý";"Porzana porzana";"Ptáci";1500;0
1393;"Lori sumbawský";"Forsten's lorikeet";"Ptáci";1500;1
1394;"Stepokur hnědobřichý";"Pterocles exustus Temminck";"Ptáci";2000;1
1395;"Labuť malá";"Cygnus columbianus";"Ptáci";2500;1
1396;"Kolpík africký";" ";"Ptáci";3000;1
1397;"Pekari Wagnerův";"Catagonus wagneri";"Savci";2000;1
1398;"Dikobraz palawanský";" ";"Savci";2000;1
1399;"Kvakoš rezavý";" ";"Ptáci";2000;1
1401;"Daman stepní";" ";"Savci";2000;1
1404;"Dikdik Kirkův";" ";"Savci";3000;1
1405;"Nosál bělohubý";" ";"Savci";5000;1
1406;"Ibis šedokřídlý";" ";"Ptáci";3000;1
1407;"Zoborožec luzonský";" ";"Ptáci";2000;1
1408;"Bukač velký";" ";"Ptáci";2000;1
1409;"Dytík bledý";" ";"Ptáci";1500;0
1411;"Kačka strakatá";" ";"Ptáci";1000;1
1412;"Želva hvězdnatá";" ";"Plazi";1500;1
1413;"Varanovec bornejský";" ";"Plazi";5000;1
1414;"Ropucha síťkovaná";" ";"Obojživelníci";1000;1
1415;"Rosnička bělopruhá";" ";"Obojživelníci";1000;1
1416;"Rosnice siná";" ";"Obojživelníci";1000;1
1417;"Rosnice šalamounská";" ";"Obojživelníci";1000;1
1418;"Létavka obecná";" ";"Obojživelníci";1000;1
1419;"Bažant paví";" ";"Ptáci";1000;1
1420;"Sojkovec rezavouchý";" ";"Ptáci";1000;1
1421;"Kachnice kaštanová";" ";"Ptáci";1000;1
